Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
%Apop:MB453:CH+MLN,0.039702,0.029575,0.03754,0.051587,0.086469,0.145527,0.230259,0.354709,0.476286,0.54,0.597877,0.625658,0.619792,0.593628,0.560233,0.571885,0.619169,0.723431,0.816549,0.888746,0.92987,0.960231,0.976448,0.983408,0.991043,0.990354
%Apop:MB453:CH+Lap,0.03673,0.029021,0.048312,0.079973,0.181818,0.286307,0.399449,0.509615,0.599037,0.607483,0.597826,0.572207,0.530323,0.497984,0.493671,0.531333,0.58004,0.649333,0.722924,0.797993,0.856291,0.900396,0.931534,0.953042,0.966557,0.972973
%Apop:MB453:C+MLN+SH,0.025424,0.019351,0.015258,0.012295,0.020408,0.025581,0.055684,0.093768,0.136707,0.172919,0.198722,0.209696,0.231041,0.260514,0.355568,0.482461,0.664733,0.82316,0.917824,0.968373,0.985698,0.991364,0.991339,0.994792,0.995389,0.995975
%Apop:MB453:CH+PX,0.032955,0.026605,0.02047,0.034913,0.059116,0.086035,0.159701,0.275862,0.407687,0.492481,0.570356,0.620797,0.62963,0.641708,0.668723,0.687079,0.754108,0.814882,0.875378,0.924426,0.958207,0.973478,0.984931,0.988575,0.992145,0.995742
%Apop:MB453:Pax,0.04259,0.034503,0.04459,0.060731,0.104312,0.131733,0.138498,0.155799,0.163253,0.153356,0.148428,0.142108,0.133218,0.139211,0.129459,0.124784,0.124427,0.115385,0.10996,0.10502,0.104009,0.109049,0.10814,0.103648,0.103468,0.114716
%Apop:MB453:C+Pax,0.035323,0.026862,0.026204,0.02451,0.030266,0.041491,0.054762,0.083234,0.143546,0.195665,0.266746,0.325272,0.378005,0.420706,0.430448,0.433196,0.462722,0.505282,0.596574,0.714371,0.832139,0.909524,0.955979,0.97398,0.986153,0.991541
%Apop:MB453:H+Pax,0.043042,0.032758,0.039465,0.069399,0.097641,0.116798,0.138725,0.159286,0.174751,0.177181,0.201199,0.216307,0.231544,0.258563,0.282274,0.311653,0.343624,0.370245,0.418194,0.481038,0.534182,0.572861,0.617093,0.644534,0.670256,0.702884
%Apop:MB453:CH+Pax,0.028641,0.02943,0.021837,0.028405,0.049064,0.088575,0.155184,0.266234,0.38982,0.511039,0.595731,0.642119,0.660013,0.665173,0.662214,0.673611,0.73711,0.818758,0.890655,0.935914,0.964602,0.981692,0.989261,0.989322,0.992419,0.994322
%Apop:AU565:Untreat,0.154171,0.163694,0.147577,0.181818,0.216518,0.24366,0.253394,0.26832,0.294843,0.295711,0.283632,0.289773,0.284916,0.294843,0.281737,0.292737,0.285714,0.285714,0.297802,0.304061,0.285556,0.298343,0.296824,0.298787,0.323725,0.325918
%Apop:AU565:HO,0.186777,0.185517,0.190117,0.241949,0.31405,0.375828,0.426544,0.491228,0.519558,0.56518,0.617647,0.658683,0.705729,0.742982,0.770224,0.806396,0.827313,0.852559,0.878367,0.888596,0.901926,0.907883,0.92,0.939046,0.945681,0.950805
%Apop:AU565:MLN+SH,0.191402,0.186598,0.164229,0.174779,0.211409,0.282955,0.331844,0.38011,0.409545,0.424476,0.45618,0.477169,0.489583,0.505814,0.538818,0.581692,0.625146,0.660138,0.711785,0.739387,0.770492,0.798144,0.826188,0.843275,0.863318,0.884434
%Apop:AU565:HO+MLN+SH,0.179889,0.181395,0.154382,0.180542,0.283077,0.435185,0.517063,0.605016,0.684431,0.736728,0.775991,0.818956,0.859593,0.879828,0.886937,0.894505,0.911111,0.912752,0.932967,0.938202,0.94772,0.951247,0.961755,0.967069,0.97146,0.973333
%Apop:AU565:Cry,0.166994,0.165517,0.227508,0.254822,0.303462,0.385331,0.438542,0.493711,0.534787,0.572917,0.622544,0.654713,0.672539,0.676071,0.680203,0.705943,0.742594,0.787848,0.835417,0.880829,0.918641,0.941484,0.955533,0.960929,0.970213,0.979701
