Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
%Apop:P4057:CH+PX,0.05038,0.050986,0.076923,0.104038,0.136176,0.15948,0.202332,0.260041,0.381534,0.506849,0.644537,0.739548,0.803511,0.834228,0.868385,0.891452,0.90502,0.902373,0.914131,0.924848,0.92891,0.924899,0.926302,0.934111,0.936082,0.940849,0.917091
%Apop:PL45:Untreat,0.059718,0.067821,0.077793,0.103004,0.13288,0.130868,0.135201,0.1447,0.15328,0.153687,0.149335,0.149674,0.151598,0.155932,0.152181,0.160696,0.16386,0.176326,0.175949,0.180095,0.200505,0.218209,0.233358,0.257154,0.281298,0.298869,0.588468
%Apop:PL45:HO,0.091521,0.091675,0.178357,0.273959,0.389854,0.477906,0.570315,0.648943,0.740128,0.798291,0.861963,0.895805,0.923501,0.94271,0.952331,0.957791,0.964425,0.967512,0.968851,0.966691,0.973938,0.976225,0.98018,0.977223,0.98245,0.982162,0.996642
%Apop:PL45:MLN+SH,0.084129,0.084911,0.11829,0.18985,0.24104,0.269484,0.303173,0.325448,0.370205,0.398916,0.456593,0.50934,0.562393,0.618851,0.669851,0.710991,0.76878,0.811907,0.839848,0.863708,0.896715,0.911993,0.928249,0.93219,0.940643,0.947125,0.979101
%Apop:PL45:HO+MLN+SH,0.075201,0.072261,0.149539,0.279786,0.423358,0.544011,0.652001,0.7303,0.764302,0.759278,0.755643,0.750323,0.756704,0.784884,0.801741,0.813087,0.842839,0.853809,0.875403,0.881933,0.903079,0.914332,0.920769,0.926357,0.932787,0.930263,0.989379
%Apop:PL45:Cry,0.098409,0.096743,0.095194,0.130116,0.179348,0.21594,0.26391,0.316432,0.385645,0.450046,0.532759,0.620388,0.696931,0.765369,0.80065,0.83442,0.851395,0.8606,0.871489,0.86941,0.888674,0.894452,0.899555,0.903133,0.90947,0.905848,0.981818
%Apop:PL45:C+H,0.102239,0.098908,0.09742,0.165707,0.291498,0.432405,0.589997,0.685785,0.746844,0.769389,0.795156,0.812586,0.829024,0.848443,0.852635,0.857292,0.870333,0.879617,0.879506,0.862792,0.865595,0.868169,0.855299,0.852105,0.856557,0.846763,0.957066
%Apop:PL45:CH+SH,0.07323,0.077055,0.10741,0.196631,0.293613,0.402443,0.521399,0.578445,0.632487,0.656691,0.685705,0.706587,0.702228,0.713811,0.700501,0.69555,0.704689,0.70818,0.711864,0.703529,0.723025,0.732597,0.743641,0.748087,0.759693,0.760629,0.921448
%Apop:PL45:CH+MLN,0.089405,0.086471,0.118261,0.195139,0.325866,0.473999,0.629682,0.716721,0.773173,0.795,0.815799,0.830149,0.847741,0.861898,0.865629,0.862703,0.875884,0.878968,0.878049,0.854279,0.856039,0.860473,0.857342,0.853736,0.864172,0.858547,0.954595
%Apop:PL45:CH+Lap,0.119968,0.128782,0.155426,0.253999,0.450511,0.610804,0.722713,0.800082,0.835035,0.848349,0.855515,0.865815,0.886785,0.892418,0.898764,0.894778,0.893676,0.884343,0.883739,0.867739,0.872917,0.873016,0.867418,0.86838,0.867516,0.864708,0.97151
